"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.740557101818563E9,"2025-02-26 10:05:01.819 UTC+02:00"
"PAUSE",3.099822022499866E2,1.740557411807730E9,"2025-02-26 10:10:11.808 UTC+02:00"
