"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
5.208191156E1,6.506067278E1,2.546660949E1,1.359245700E1,1.190000057E0,2.467968539E2,7.699535613E1,4.800000000E1
7.798898196E1,6.506050258E1,2.546612799E1,1.359245700E1,NaN,NaN,7.842170132E1,4.800183581E1
7.799519598E1,6.506050258E1,2.546612799E1,1.359245700E1,NaN,NaN,7.842170424E1,4.800183581E1
8.408181405E1,6.506022718E1,2.546727779E1,1.668743896E1,1.710000038E0,1.835156250E2,2.932538955E1,1.600000000E1
8.507647681E1,6.506021196E1,2.546727558E1,1.693938857E1,1.710000038E0,1.835156230E2,2.932538955E1,1.600000000E1
8.607310414E1,6.505962570E1,2.546695738E1,5.873042709E1,1.710000038E0,1.926562428E2,3.321146817E1,3.200000000E1
8.707314992E1,6.506007646E1,2.546680345E1,2.234370632E1,1.259999990E0,4.500001716E1,1.312359973E1,1.200000000E1
8.821999097E1,6.506005172E1,2.546667897E1,1.489045166E1,1.259999990E0,1.926562439E2,1.157990614E1,1.200000000E1
8.922044969E1,6.506010311E1,2.546683085E1,1.923977855E1,9.383342286E-1,1.897337430E2,1.059844349E1,7.950511197E0
9.022427714E1,6.506008740E1,2.546674637E1,2.330994753E1,9.067763509E-1,1.789849539E2,7.998502191E0,7.005184538E0
9.122174370E1,6.506007748E1,2.546671442E1,2.744102407E1,1.207142026E0,1.784657800E2,6.099041084E0,5.899629088E0
9.221500814E1,6.506007158E1,2.546671393E1,2.696771020E1,1.112162437E0,1.857034601E2,5.940918987E0,5.836789585E0
9.321507287E1,6.506005706E1,2.546672331E1,2.618485152E1,4.403564700E-1,NaN,6.172981143E0,5.718786386E0
9.421888053E1,6.506004205E1,2.546672303E1,2.694444161E1,5.756918200E-1,1.724633545E2,5.905862436E0,5.282974897E0
9.521347392E1,6.506004026E1,2.546673796E1,2.655311022E1,5.216774867E-1,1.628011333E2,5.643997815E0,5.046280950E0
9.621354663E1,6.506001769E1,2.546673068E1,2.710596361E1,5.879060833E-1,1.763620840E2,5.608994191E0,4.965082857E0
9.722246861E1,6.506001966E1,2.546673980E1,2.680926662E1,2.496703617E-1,1.801501346E2,5.648098390E0,4.937492156E0
9.822687602E1,6.506000873E1,2.546673624E1,2.715151845E1,3.185405604E-1,1.751828799E2,5.396831162E0,4.591141360E0
9.922842002E1,6.506001864E1,2.546676856E1,2.680470145E1,4.451783942E-1,1.239623027E2,5.546017491E0,4.663639527E0
1.002122155E2,6.506001806E1,2.546675219E1,2.705895877E1,5.138936736E-1,2.175605300E2,5.660622410E0,4.753505346E0
