"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
2.411809418E2,6.505882820E1,2.546699363E1,1.555978741E1,1.456009807E0,1.236828794E2,7.320090632E0,3.600057985E0
2.421809379E2,6.505882103E1,2.546702204E1,1.527000282E1,1.525773397E0,1.230381482E2,7.320090623E0,3.129502608E0
2.431809337E2,6.505881258E1,2.546705499E1,1.551772973E1,1.650482133E0,1.220412232E2,8.035023742E0,3.119988459E0
2.441809289E2,6.505880384E1,2.546708698E1,1.562504461E1,1.699769256E0,1.219538878E2,8.458735014E0,3.098390548E0
2.452040678E2,6.505887480E1,2.546670556E1,1.248288924E1,0.000000000E0,NaN,2.473949572E1,1.600000000E1
2.501809038E2,6.505891516E1,2.546673884E1,1.683612061E1,1.409999967E0,1.582031250E1,5.478546784E1,2.400000000E1
2.511808989E2,6.505891516E1,2.546673884E1,1.708836181E1,1.409999967E0,NaN,5.478546784E1,2.400000000E1
2.521808949E2,6.505893507E1,2.546671662E1,1.648676688E1,1.409999967E0,NaN,6.233289417E1,2.400000000E1
2.531808916E2,6.505895162E1,2.546668846E1,1.657408912E1,1.159999967E0,NaN,6.888457015E1,2.400000000E1
2.541808870E2,6.505896629E1,2.546665971E1,1.661458595E1,1.159999967E0,NaN,7.574234052E1,2.400000000E1
2.551808826E2,6.505898008E1,2.546663524E1,1.665509612E1,1.159999967E0,NaN,8.293330715E1,3.200000000E1
2.562056878E2,6.505899295E1,2.546661344E1,1.669560630E1,1.159999967E0,NaN,9.045410186E1,3.200000000E1
2.747691541E2,6.505884677E1,2.546744342E1,1.327000046E1,NaN,NaN,2.818392272E1,3.000000000E1
2.840579890E2,6.505884559E1,2.546744607E1,1.327000046E1,NaN,NaN,3.942480592E1,3.000097308E1
2.840733250E2,6.505884559E1,2.546744607E1,1.327000046E1,NaN,NaN,3.942490489E1,3.000097308E1
2.867644490E2,6.505882817E1,2.546782888E1,1.327000046E1,NaN,NaN,2.881476566E1,3.000000000E1
2.933679880E2,6.505881606E1,2.546803808E1,1.327000046E1,NaN,NaN,2.683493041E1,3.000000000E1
2.951807269E2,6.505883683E1,2.546891315E1,1.489968226E1,1.325504723E0,8.886352793E1,1.646126807E1,4.590346415E0
2.961807232E2,6.505885293E1,2.546877763E1,1.629137172E1,1.128093516E0,7.638412007E1,1.074686289E1,4.519487815E0
2.971807188E2,6.505885830E1,2.546891959E1,1.587890358E1,1.175521062E0,8.517324757E1,6.037681501E0,3.533595177E0
2.981807159E2,6.505885757E1,2.546883656E1,1.728352987E1,1.138906198E0,8.180623554E1,5.929430038E0,4.698736012E0
2.991807120E2,6.505885588E1,2.546876460E1,1.674644405E1,6.658072778E-1,8.300158288E1,5.791413130E0,4.842952541E0
3.001807410E2,6.505885089E1,2.546877002E1,1.733047563E1,7.787175731E-1,9.127808816E1,5.617179513E0,4.840262851E0
3.011807603E2,6.505884714E1,2.546878883E1,1.779193958E1,1.024368298E0,9.049697612E1,5.671893005E0,5.024910428E0
3.021807858E2,6.505884465E1,2.546879416E1,1.833817686E1,1.126008317E0,9.192866361E1,5.594344803E0,4.999194100E0
3.031808153E2,6.505883743E1,2.546881405E1,1.838934565E1,1.243278406E0,9.603866303E1,5.914494533E0,5.355274728E0
3.041808407E2,6.505883899E1,2.546882423E1,1.832834461E1,1.201717381E0,9.637677386E1,5.860310311E0,5.424854128E0
3.051808681E2,6.505884199E1,2.546879941E1,1.734611904E1,9.028406684E-1,8.668799976E1,6.019312342E0,5.726454624E0
3.061808918E2,6.505884431E1,2.546881301E1,1.719325333E1,1.167295746E0,8.343321948E1,6.191963452E0,6.007630304E0
3.071809231E2,6.505884278E1,2.546882581E1,1.662119780E1,1.157560691E0,8.416352387E1,6.280663560E0,6.204551494E0
3.081809484E2,6.505884059E1,2.546883849E1,1.626909732E1,1.081926170E0,8.982469866E1,6.359507105E0,6.332853951E0
3.091809713E2,6.505884284E1,2.546884752E1,1.622208953E1,9.824635536E-1,8.922089706E1,6.655862046E0,6.652618073E0
