"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.534513750E-1,4.830302259E-1,3.044504857E-1,-6.873285055E-2
7.634373750E-1,4.727279435E-1,3.300697687E-1,1.072543073E-1
7.734233750E-1,4.749246693E-1,3.490533391E-1,2.061032420E-1
7.834093750E-1,4.985006429E-1,3.066350055E-1,2.180362397E-1
7.933953750E-1,6.484126541E-1,2.189785185E-1,1.808035094E-1
8.033813750E-1,7.687578540E-1,1.205432743E-1,1.180149382E-1
8.133673750E-1,7.485040491E-1,1.444604328E-1,8.646862507E-2
8.233533750E-1,7.005193855E-1,2.997744673E-1,-9.739882529E-2
8.333393750E-1,6.865367925E-1,4.429742405E-1,-4.214316362E-1
8.433253750E-1,7.534554713E-1,5.223846915E-1,-7.280923694E-1
8.533113750E-1,8.929046211E-1,3.952992600E-1,-1.033310010E0
8.632973750E-1,1.020883142E0,1.547752136E-1,-1.141112201E0
8.732843750E-1,1.312962162E0,5.703315675E-2,-9.072417015E-1
8.832703750E-1,1.692984401E0,4.276828945E-2,-8.256636876E-1
8.932563750E-1,2.250339535E0,-3.192053497E-2,-8.818431509E-1
9.032423750E-1,4.059342636E0,-6.877954057E-1,-6.034577984E-1
9.132283750E-1,4.188548560E0,-7.190528664E-1,-1.289673579E-1
9.232143750E-1,2.304706654E0,3.961988541E-1,-1.102539289E-1
9.332003750E-1,1.957165113E0,-4.449351043E-2,-4.072497994E-1
9.431863750E-1,2.353440565E0,-5.107393768E-1,2.459952861E-1
9.531723750E-1,2.478267510E0,3.357520929E-1,1.628676431E0
9.631587500E-1,1.729565898E0,4.155478755E-1,1.632734399E0
9.731447500E-1,1.375237786E0,-2.331024680E-1,1.759368133E0
9.831307500E-1,1.790465672E0,-7.325751373E-1,1.145888792E0
9.931167500E-1,2.263692822E0,-1.252159305E0,3.593768907E-1
1.003103750E0,2.094996703E0,-1.299412993E0,5.323492241E-1
1.013089750E0,1.451557545E0,-1.191963974E0,5.555322647E-1
1.023075750E0,1.072153210E0,-4.568178159E-1,3.851215965E-1
1.033061750E0,8.532273160E-1,3.843705216E-1,4.745424807E-1
1.043047750E0,1.239073382E0,8.204421240E-1,4.928214616E-1
1.053033750E0,1.423521608E0,5.626097345E-1,4.947691691E-1
1.063019750E0,1.087339160E0,7.417219368E-1,7.895448518E-1
1.073005750E0,1.194610424E0,8.922462246E-1,1.013793173E0
1.082991750E0,1.604003812E0,9.634471849E-1,1.064666288E0
1.092977750E0,1.165294677E0,6.922623861E-1,1.281002743E0
1.102963750E0,5.403084540E-1,1.900288077E-1,1.751800666E0
1.112949750E0,1.416549388E-1,-3.334338181E-1,1.699511940E0
1.122935750E0,1.008850814E-1,-6.441047180E-1,1.143175099E0
1.132922750E0,1.592009711E-1,-6.015241241E-1,4.821058542E-1
1.142908750E0,7.018442184E-2,-2.707348555E-1,1.514060479E-1
1.152894750E0,-3.769385643E-1,-1.194944300E-1,1.144838047E-1
1.162880750E0,-8.637271611E-1,-2.660268237E-1,1.773782104E-1
1.172866750E0,-1.046818978E0,-4.995078988E-1,1.366663867E-1
1.182852750E0,-1.110170344E0,-7.363264185E-1,3.641540658E-1
1.192838750E0,-9.853774595E-1,-1.059539157E0,6.403648388E-1
1.202824750E0,-1.086776365E0,-1.476624704E0,5.736486930E-1
1.212810750E0,-1.351799953E0,-1.634372058E0,4.682391822E-2
1.222796750E0,-1.822941547E0,-1.430680500E0,-9.598403299E-1
1.232782750E0,-2.406783106E0,-1.065439144E0,-2.165777687E0
1.242768750E0,-2.651871927E0,-1.110671012E0,-2.688408839E0
1.252755750E0,-2.371867919E0,-1.063297894E0,-2.721842633E0
1.262741750E0,-1.855048462E0,-7.479177926E-1,-2.446971458E0
1.272727750E0,-1.592926116E0,-3.327746907E-1,-1.843764505E0
1.282713750E0,-1.369402995E0,7.988758385E-2,-9.440218574E-1
1.292699750E0,-1.104158822E0,5.684198204E-1,-2.278186315E-1
1.302685750E0,-1.195287970E0,1.184369903E0,1.570024180E-1
1.312671750E0,-1.394901826E0,1.472881317E0,3.287374806E-1
1.322657750E0,-1.136593327E0,8.420524098E-1,-1.636694133E-2
1.332643750E0,-9.076483753E-1,7.550677679E-1,-1.609457803E-1
1.342629750E0,-9.897706188E-1,1.038645302E0,-3.452184427E-1
1.352615750E0,-1.269616752E0,1.424338464E0,-9.109061515E-1
1.362601750E0,-1.540808129E0,1.529577528E0,-1.167332870E0
1.372587750E0,-1.437532267E0,1.454138652E0,-1.503389896E0
1.382574750E0,-1.158528133E0,1.228781698E0,-1.718337636E0
1.392560750E0,-8.869623882E-1,1.024080472E0,-1.729653752E0
1.402546750E0,-6.743115802E-1,8.495161613E-1,-1.713046491E0
1.412532750E0,-5.592917320E-1,6.542910793E-1,-1.597076324E0
1.422518750E0,-6.786380813E-1,5.017898478E-1,-1.370759842E0
1.432504750E0,-7.666525640E-1,3.374731477E-1,-1.049294543E0
1.442490750E0,-7.546932538E-1,1.874187568E-1,-7.047754276E-1
1.452476750E0,-6.708590917E-1,8.439242497E-2,-2.207961255E-1
1.462462750E0,-6.867617641E-1,2.353888755E-1,3.242333704E-1
1.472448750E0,-1.140656849E0,7.754776935E-1,8.607370412E-1
1.482434750E0,-1.144924586E0,9.907874496E-1,1.517660610E0
1.492420750E0,-3.574867782E-1,8.979974728E-1,1.616032412E0
1.502406750E0,6.982511044E-2,9.184693788E-1,9.026071984E-1
1.512393750E0,-2.661570704E-1,1.145260143E0,9.304188949E-1
1.522379750E0,-6.229747809E-1,1.188392275E0,1.067170651E0
1.532365750E0,-1.068529836E0,8.855695083E-1,6.635455406E-1
1.542351750E0,-1.358219903E0,4.371163537E-1,1.456746072E-1
1.552337750E0,-1.740277559E0,2.546759163E-1,-3.898163259E-1
1.562323750E0,-2.291792201E0,5.173195410E-1,-9.865311152E-1
1.572309750E0,-2.610012295E0,1.069117920E0,-1.521790498E0
1.582295750E0,-2.652603414E0,1.732452961E0,-1.486747550E0
1.592281750E0,-2.415414912E0,2.227236017E0,-9.659863383E-1
1.602267750E0,-1.858391022E0,2.483729979E0,-3.266845232E-1
1.612253750E0,-1.318533535E0,2.569840462E0,7.096116596E-1
1.622239750E0,-1.049584711E0,2.465925207E0,2.087954755E0
1.632225750E0,-9.631973626E-1,2.171240156E0,3.118649306E0
1.642212750E0,-9.285129949E-1,1.585417268E0,3.376083500E0
1.652198750E0,-1.019316015E0,8.251377305E-1,3.010718476E0
1.662184750E0,-1.354907163E0,3.019054851E-1,2.544294854E0
1.672170750E0,-1.880122784E0,9.977747262E-2,1.933977102E0
1.682156750E0,-2.459469881E0,2.126689343E-1,1.123689837E0
1.692142750E0,-2.668314590E0,3.563246441E-1,3.633301932E-1
1.702128750E0,-2.526748529E0,4.028187793E-1,-3.558276308E-1
1.712114750E0,-2.194880011E0,4.799926704E-1,-8.246784317E-1
1.722100750E0,-1.719743014E0,7.402335280E-1,-9.947382671E-1
1.732086750E0,-1.474780493E0,7.382826045E-1,-1.018085030E0
1.742072750E0,-1.406836285E0,7.503047723E-1,-7.719073105E-1
1.752058750E0,-1.269796700E0,7.037814009E-1,-5.515251678E-1
1.762045750E0,-1.077727653E0,6.150259298E-1,-1.467773920E-1
1.772031750E0,-4.643846977E-1,7.021845263E-1,4.328915942E-1
1.782017750E0,8.608548626E-2,8.698490497E-1,5.370363522E-1
1.792003750E0,2.810056360E-1,1.092597853E0,3.304267412E-1
1.801989750E0,1.317901012E-1,1.233499670E0,-8.192533851E-2
1.811975750E0,-2.746239848E-1,1.324491994E0,-3.517088521E-1
1.821961750E0,-5.956451873E-1,1.415810884E0,-2.874456131E-1
1.831947750E0,-8.089940067E-1,1.562221363E0,2.195056450E-1
1.841933750E0,-7.994099817E-1,1.656430533E0,7.961229694E-1
1.851919750E0,-9.770998487E-1,1.475841324E0,1.305832944E0
1.861905750E0,-1.191442622E0,1.017381610E0,1.656499237E0
1.871891750E0,-1.028495632E0,4.546800739E-1,1.719784237E0
1.881877750E0,-7.638427576E-1,4.219701648E-2,1.769062232E0
1.891864750E0,-4.675406592E-1,-7.461514950E-2,1.858414704E0
1.901850750E0,-1.485600254E-1,1.157894880E-1,1.919622188E0
1.911836750E0,6.991979878E-2,5.735908055E-1,1.736756950E0
1.921822750E0,-1.493563430E-1,7.518493143E-1,1.283436939E0
1.931808750E0,-6.040908691E-1,4.978991836E-1,9.691876888E-1
1.941794750E0,-8.191956438E-1,2.312269735E-1,9.948897099E-1
1.951780750E0,-9.563466916E-1,3.037833184E-2,9.846091354E-1
1.961766875E0,-1.107729570E0,-5.239768884E-1,7.841619051E-1
1.971752875E0,-1.263898029E0,-1.073849925E0,5.577360803E-1
1.981738875E0,-1.054350484E0,-1.168629490E0,4.408104783E-1
1.991724875E0,-6.948287290E-1,-9.819737953E-1,5.313622141E-1
2.001710875E0,-1.469286156E-1,-1.003213221E0,7.518694872E-1
2.011696875E0,3.750272192E-1,-1.062215136E0,9.148764110E-1
2.021683875E0,6.184779067E-1,-1.026519638E0,6.272606438E-1
2.031669875E0,8.937010849E-1,-9.320444208E-1,-1.812566686E-1
2.041655875E0,1.009601451E0,-8.782567611E-1,-1.062021593E0
2.051641875E0,1.030851767E0,-8.833379915E-1,-1.647326710E0
2.061627875E0,9.846672421E-1,-9.251879758E-1,-2.070417786E0
2.071613875E0,7.678165984E-1,-1.039854798E0,-2.531915129E0
2.081599875E0,5.405929942E-1,-1.055384711E0,-2.973661746E0
2.091585875E0,3.752066191E-1,-1.192241717E0,-3.142660897E0
2.101571875E0,3.615891847E-1,-1.496607418E0,-3.065331470E0
2.111557875E0,2.540834472E-1,-1.575438994E0,-2.672394485E0
2.121543875E0,1.334681059E-1,-1.342290626E0,-2.133055499E0
2.131529875E0,3.299085318E-1,-1.026638044E0,-1.845144448E0
2.141516875E0,6.906123018E-1,-7.109307915E-1,-1.827488780E0
2.151502875E0,1.018364088E0,-2.390254050E-1,-1.854759609E0
2.161488875E0,1.339516414E0,2.569965300E-1,-1.565094978E0
2.171474875E0,1.547920243E0,5.442272580E-1,-1.437327468E0
2.181460875E0,1.449835247E0,6.655654612E-1,-1.507173044E0
2.191446875E0,1.030706683E0,6.493587336E-1,-1.721610907E0
2.201432875E0,4.242323063E-1,5.062416986E-1,-1.912266975E0
2.211418875E0,-1.989614528E-1,2.915509433E-1,-1.940809574E0
2.221404875E0,-7.743270345E-1,3.260875225E-2,-1.136898698E0
2.231390875E0,-1.174648907E0,-2.549941510E-2,3.678652936E-1
2.241376875E0,-9.105627738E-1,-3.909989253E-1,1.243707447E0
2.251362875E0,-8.719240804E-1,-7.181056175E-1,1.637279440E0
2.261348875E0,-1.118461111E0,-7.135082442E-1,1.619232008E0
2.271335875E0,-1.284409477E0,-7.517861643E-1,1.192628510E0
2.281321875E0,-1.253546703E0,-7.050812370E-1,5.878527492E-1
2.291307875E0,-1.124629046E0,-4.849607572E-1,-6.237341881E-2
2.301293875E0,-7.689344399E-1,-2.491039583E-1,-4.144319344E-1
2.311279875E0,9.830159153E-1,-1.520583048E-1,-3.427076483E-1
2.321265875E0,1.432986349E0,1.537124822E-1,-1.131944937E-1
2.331251875E0,-1.025736111E0,3.288295743E-1,4.548946667E-1
2.341237875E0,-1.564983734E0,3.561869422E-1,-1.762748408E-1
2.351223875E0,-5.667864007E-1,1.877438620E-1,-1.196020480E0
2.361209875E0,1.305835283E-1,6.420798272E-2,-1.609527969E0
2.371195875E0,5.310236603E-2,2.150895354E-1,-1.529626352E0
2.381181875E0,-1.605005148E-1,3.556674170E-1,-1.435356372E0
2.391167875E0,-3.554422992E-1,2.422741181E-1,-1.189324248E0
2.401154875E0,-6.021320884E-1,1.047873670E-1,-8.651943737E-1
2.411140875E0,-6.681911534E-1,1.692488265E-1,-6.224325979E-1
2.421126875E0,-4.529475439E-1,4.447918475E-1,-3.295742172E-1
2.431112875E0,2.734505948E-1,7.358273587E-1,-3.785604358E-2
2.441098875E0,7.820117377E-1,9.539173928E-1,5.084884912E-1
2.451084875E0,1.411110600E0,1.174619086E0,1.193942964E0
2.461070875E0,1.749037272E0,1.327787777E0,1.850309293E0
2.471056875E0,1.706894343E0,1.312483859E0,2.182385534E0
2.481042875E0,1.217793172E0,1.105497395E0,1.899691368E0
2.491028875E0,5.963722886E-1,8.207792160E-1,1.471558238E0
2.501014875E0,1.838466927E-1,5.374874648E-1,1.179773406E0
2.511000875E0,-2.115597175E-1,2.936495090E-1,9.691929513E-1
2.520986875E0,-4.654401201E-1,1.261609867E-1,8.221068263E-1
2.530973875E0,-5.638834043E-1,9.036374778E-2,7.438564628E-1
2.540959875E0,-5.025661388E-1,4.784688860E-2,7.825603527E-1
2.550945875E0,-4.012929484E-1,-4.940692574E-2,9.275876731E-1
2.560931875E0,-2.152553040E-1,-9.798091561E-2,1.100458265E0
2.570917875E0,8.798363864E-2,-4.831115752E-2,1.207355307E0
2.580903875E0,4.304641226E-1,1.446446201E-1,1.183387570E0
2.590889875E0,6.817007066E-1,4.127099293E-1,1.059079274E0
2.600875875E0,8.409838311E-1,5.865970597E-1,1.027192068E0
2.610861875E0,9.185408610E-1,6.267507666E-1,9.997119087E-1
2.620847875E0,9.732652447E-1,5.811451158E-1,1.112128138E0
